#       time                 chi                 phi               lapse
   1.9000000    6.0418693624e-01    9.9529980233e-02    6.0632954571e-01
   1.9250000    6.0431468448e-01    1.0063537320e-01    6.0701151393e-01
   1.9500000    6.0444561054e-01    1.0173397103e-01    6.0771162355e-01
   1.9750000    6.0457963115e-01    1.0282568090e-01    6.0843012060e-01
   2.0000000    6.0471665568e-01    1.0391040755e-01    6.0916725402e-01
   2.0250000    6.0485658624e-01    1.0498805331e-01    6.0992327568e-01
   2.0500000    6.0499931779e-01    1.0605851810e-01    6.1069844046e-01
   2.0750000    6.0514473831e-01    1.0712169944e-01    6.1149300629e-01
   2.1000000    6.0529272888e-01    1.0817749243e-01    6.1230723428e-01
   2.1250000    6.0544316389e-01    1.0922578979e-01    6.1314138877e-01
   2.1500000    6.0559591110e-01    1.1026648186e-01    6.1399573751e-01
   2.1750000    6.0575083174e-01    1.1129945658e-01    6.1487055173e-01
   2.2000000    6.0590778065e-01    1.1232459953e-01    6.1576610633e-01
   2.2250000    6.0606660628e-01    1.1334179392e-01    6.1668267998e-01
   2.2500000    6.0622715080e-01    1.1435092059e-01    6.1762055524e-01
   2.2750000    6.0638925015e-01    1.1535185805e-01    6.1858001869e-01
   2.3000000    6.0655273410e-01    1.1634448244e-01    6.1956136101e-01
   2.3250000    6.0671742633e-01    1.1732866758e-01    6.2056487702e-01
   2.3500000    6.0688314459e-01    1.1830428496e-01    6.2159086572e-01
   2.3750000    6.0704970081e-01    1.1927120374e-01    6.2263963027e-01
   2.4000000    6.0721690133e-01    1.2022929075e-01    6.2371147794e-01
   2.4250000    6.0738454712e-01    1.2117841052e-01    6.2480671998e-01
   2.4500000    6.0755243404e-01    1.2211842529e-01    6.2592567152e-01
   2.4750000    6.0772035316e-01    1.2304919500e-01    6.2706865136e-01
   2.5000000    6.0788809108e-01    1.2397057727e-01    6.2823598177e-01
   2.5250000    6.0805543022e-01    1.2488242749e-01    6.2942798823e-01
   2.5500000    6.0822214915e-01    1.2578459876e-01    6.3064499915e-01
   2.5750000    6.0838802290e-01    1.2667694190e-01    6.3188734559e-01
   2.6000000    6.0855282318e-01    1.2755930552e-01    6.3315536091e-01
   2.6250000    6.0871631858e-01    1.2843153597e-01    6.3444938049e-01
   2.6500000    6.0887827474e-01    1.2929347738e-01    6.3576974138e-01
   2.6750000    6.0903845447e-01    1.3014497168e-01    6.3711678194e-01
   2.7000000    6.0919661771e-01    1.3098585859e-01    6.3849084158e-01
   2.7250000    6.0935252159e-01    1.3181597569e-01    6.3989226037e-01
   2.7500000    6.0950592037e-01    1.3263515836e-01    6.4132137877e-01
   2.7750000    6.0965656532e-01    1.3344323986e-01    6.4277853730e-01
   2.8000000    6.0980420471e-01    1.3424005134e-01    6.4426407623e-01
   2.8250000    6.0994858369e-01    1.3502542185e-01    6.4577833526e-01
   2.8500000    6.1008944432e-01    1.3579917837e-01    6.4732165322e-01
   2.8750000    6.1022652557e-01    1.3656114582e-01    6.4889436774e-01
   2.9000000    6.1035956344e-01    1.3731114711e-01    6.5049681492e-01
   2.9250000    6.1048829118e-01    1.3804900318e-01    6.5212932896e-01
   2.9500000    6.1061243957e-01    1.3877453297e-01    6.5379224179e-01
   2.9750000    6.1073173733e-01    1.3948755352e-01    6.5548588266e-01
   3.0000000    6.1084591159e-01    1.4018787996e-01    6.5721057772e-01
   3.0250000    6.1095468855e-01    1.4087532555e-01    6.5896664954e-01
   3.0500000    6.1105779406e-01    1.4154970175e-01    6.6075441665e-01
   3.0750000    6.1115495435e-01    1.4221081820e-01    6.6257419298e-01
   3.1000000    6.1124589678e-01    1.4285848282e-01    6.6442628732e-01
   3.1250000    6.1133035058e-01    1.4349250183e-01    6.6631100278e-01
   3.1500000    6.1140804753e-01    1.4411267978e-01    6.6822863614e-01
   3.1750000    6.1147872262e-01    1.4471881962e-01    6.7017947729e-01
   3.2000000    6.1154211468e-01    1.4531072275e-01    6.7216380857e-01
   3.2250000    6.1159796684e-01    1.4588818907e-01    6.7418190413e-01
   3.2500000    6.1164602695e-01    1.4645101705e-01    6.7623402930e-01
   3.2750000    6.1168604789e-01    1.4699900375e-01    6.7832043993e-01
   3.3000000    6.1171778775e-01    1.4753194496e-01    6.8044138168e-01
   3.3250000    6.1174100997e-01    1.4804963520e-01    6.8259708937e-01
   3.3500000    6.1175548332e-01    1.4855186782e-01    6.8478778629e-01
   3.3750000    6.1176098188e-01    1.4903843510e-01    6.8701368342e-01
   3.4000000    6.1175728494e-01    1.4950912829e-01    6.8927497871e-01
   3.4250000    6.1174417687e-01    1.4996373773e-01    6.9157185628e-01
   3.4500000    6.1172144698e-01    1.5040205293e-01    6.9390448555e-01
   3.4750000    6.1168888943e-01    1.5082386264e-01    6.9627302033e-01
   3.5000000    6.1164630311e-01    1.5122895504e-01    6.9867759786e-01
   3.5250000    6.1159349159e-01    1.5161711772e-01    7.0111833772e-01
   3.5500000    6.1153026319e-01    1.5198813793e-01    7.0359534077e-01
   3.5750000    6.1145643100e-01    1.5234180260e-01    7.0610868787e-01
   3.6000000    6.1137181310e-01    1.5267789852e-01    7.0865843860e-01
   3.6250000    6.1127623278e-01    1.5299621248e-01    7.1124462994e-01
   3.6500000    6.1116951887e-01    1.5329653137e-01    7.1386727479e-01
   3.6750000    6.1105150615e-01    1.5357864240e-01    7.1652636053e-01
   3.7000000    6.1092203580e-01    1.5384233321e-01    7.1922184751e-01
   3.7250000    6.1078095599e-01    1.5408739207e-01    7.2195366751e-01
   3.7500000    6.1062812240e-01    1.5431360803e-01    7.2472172229e-01
   3.7750000    6.1046339888e-01    1.5452077115e-01    7.2752588214e-01
   3.8000000    6.1028665810e-01    1.5470867263e-01    7.3036598449e-01
   3.8250000    6.1009778221e-01    1.5487710509e-01    7.3324183270e-01
   3.8500000    6.0989666344e-01    1.5502586272e-01    7.3615319496e-01
   3.8750000    6.0968320479e-01    1.5515474151e-01    7.3909980332e-01
   3.9000000    6.0945732054e-01    1.5526353948e-01    7.4208135300e-01
   3.9250000    6.0921893684e-01    1.5535205689e-01    7.4509750183e-01
   3.9500000    6.0896799211e-01    1.5542009646e-01    7.4814787001e-01
   3.9750000    6.0870443747e-01    1.5546746364e-01    7.5123204001e-01
   4.0000000    6.0842823705e-01    1.5549396675e-01    7.5434955676e-01
   4.0250000    6.0813936818e-01    1.5549941730e-01    7.5749992805e-01
   4.0500000    6.0783782158e-01    1.5548363013e-01    7.6068262511e-01
   4.0750000    6.0752360142e-01    1.5544642371e-01    7.6389708336e-01
   4.1000000    6.0719672536e-01    1.5538762027e-01    7.6714270332e-01
   4.1250000    6.0685722453e-01    1.5530704606e-01    7.7041885149e-01
   4.1500000    6.0650514347e-01    1.5520453155e-01    7.7372486143e-01
   4.1750000    6.0614054003e-01    1.5507991162e-01    7.7706003464e-01
   4.2000000    6.0576348533e-01    1.5493302574e-01    7.8042364147e-01
   4.2250000    6.0537406367e-01    1.5476371820e-01    7.8381492184e-01
   4.2500000    6.0497237245e-01    1.5457183823e-01    7.8723308572e-01
   4.2750000    6.0455852220e-01    1.5435724026e-01    7.9067731347e-01
   4.3000000    6.0413263656e-01    1.5411978405e-01    7.9414675580e-01
   4.3250000    6.0369485235e-01    1.5385933489e-01    7.9764053345e-01
   4.3500000    6.0324531964e-01    1.5357576379e-01    8.0115773651e-01
   4.3750000    6.0278420190e-01    1.5326894769e-01    8.0469742348e-01
   4.4000000    6.0231167619e-01    1.5293876961e-01    8.0825861991e-01
   4.4250000    6.0182793334e-01    1.5258511892e-01    8.1184031678e-01
   4.4500000    6.0133317817e-01    1.5220789153e-01    8.1544146867e-01
   4.4750000    6.0082762975e-01    1.5180699008e-01    8.1906099165e-01
   4.5000000    6.0031152161e-01    1.5138232426e-01    8.2269776107e-01
   4.5250000    5.9978510198e-01    1.5093381098e-01    8.2635060932e-01
   4.5500000    5.9924863397e-01    1.5046137468e-01    8.3001832359e-01
   4.5750000    5.9870239577e-01    1.4996494756e-01    8.3369964374e-01
   4.6000000    5.9814668070e-01    1.4944446988e-01    8.3739326042e-01
   4.6250000    5.9758179728e-01    1.4889989020e-01    8.4109781346e-01
   4.6500000    5.9700806920e-01    1.4833116569e-01    8.4481189070e-01
   4.6750000    5.9642583512e-01    1.4773826233e-01    8.4853402716e-01
   4.7000000    5.9583544854e-01    1.4712115522e-01    8.5226270491e-01
   4.7250000    5.9523727734e-01    1.4647982876e-01    8.5599635340e-01
   4.7500000    5.9463170345e-01    1.4581427691e-01    8.5973335040e-01
   4.7750000    5.9401912221e-01    1.4512450328e-01    8.6347202364e-01
   4.8000000    5.9339994176e-01    1.4441052134e-01    8.6721065302e-01
   4.8250000    5.9277458231e-01    1.4367235448e-01    8.7094747340e-01
   4.8500000    5.9214347528e-01    1.4291003603e-01    8.7468067801e-01
   4.8750000    5.9150706246e-01    1.4212360926e-01    8.7840842229e-01
   4.9000000    5.9086579505e-01    1.4131312731e-01    8.8212882816e-01
   4.9250000    5.9022013279e-01    1.4047865301e-01    8.8583998864e-01
   4.9500000    5.8957054297e-01    1.3962025871e-01    8.8953997263e-01
   4.9750000    5.8891749954e-01    1.3873802596e-01    8.9322682985e-01
   5.0000000    5.8826148228e-01    1.3783204521e-01    8.9689859575e-01
   5.0250000    5.8760297601e-01    1.3690241533e-01    9.0055329628e-01
   5.0500000    5.8694246986e-01    1.3594924318e-01    9.0418895239e-01
   5.0750000    5.8628045670e-01    1.3497264308e-01    9.0780358427e-01
   5.1000000    5.8561743260e-01    1.3397273616e-01    9.1139521507e-01
   5.1250000    5.8495389645e-01    1.3294964980e-01    9.1496187410e-01
   5.1500000    5.8429034961e-01    1.3190351689e-01    9.1850159953e-01
   5.1750000    5.8362729569e-01    1.3083447520e-01    9.2201244034e-01
   5.2000000    5.8296524037e-01    1.2974266661e-01    9.2549245778e-01
   5.2250000    5.8230469126e-01    1.2862823646e-01    9.2893972609e-01
   5.2500000    5.8164615783e-01    1.2749133275e-01    9.3235233266e-01
   5.2750000    5.8099015128e-01    1.2633210553e-01    9.3572837761e-01
   5.3000000    5.8033718442e-01    1.2515070621e-01    9.3906597295e-01
   5.3250000    5.7968777154e-01    1.2394728690e-01    9.4236324126e-01
   5.3500000    5.7904242820e-01    1.2272199986e-01    9.4561831417e-01
   5.3750000    5.7840167096e-01    1.2147499697e-01    9.4882933053e-01
   5.4000000    5.7776601711e-01    1.2020642921e-01    9.5199443464e-01
   5.4250000    5.7713598428e-01    1.1891644628e-01    9.5511177442e-01
   5.4500000    5.7651209008e-01    1.1760519620e-01    9.5817949974e-01
   5.4750000    5.7589485167e-01    1.1627282503e-01    9.6119576101e-01
   5.5000000    5.7528478541e-01    1.1491947659e-01    9.6415870806e-01
   5.5250000    5.7468240649e-01    1.1354529221e-01    9.6706648937e-01
   5.5500000    5.7408822865e-01    1.1215041062e-01    9.6991725169e-01
   5.5750000    5.7350276403e-01    1.1073496771e-01    9.7270914016e-01
   5.6000000    5.7292652313e-01    1.0929909644e-01    9.7544029872e-01
   5.6250000    5.7236001495e-01    1.0784292665e-01    9.7810887093e-01
   5.6500000    5.7180374726e-01    1.0636658494e-01    9.8071300116e-01
   5.6750000    5.7125822709e-01    1.0487019445e-01    9.8325083592e-01
   5.7000000    5.7072396145e-01    1.0335387466e-01    9.8572052545e-01
   5.7250000    5.7020145812e-01    1.0181774114e-01    9.8812022528e-01
   5.7500000    5.6969122670e-01    1.0026190520e-01    9.9044809785e-01
   5.7750000    5.6919377978e-01    9.8686473569e-02    9.9270231391e-01
   5.8000000    5.6870963411e-01    9.7091547899e-02    9.9488105377e-01
   5.8250000    5.6823931199e-01    9.5477224322e-02    9.9698250820e-01
   5.8500000    5.6778334255e-01    9.3843592884e-02    9.9900487902e-01
   5.8750000    5.6734226304e-01    9.2190736953e-02    1.0009463792e+00
   5.9000000    5.6691662006e-01    9.0518732589e-02    1.0028052324e+00
   5.9250000    5.6650697067e-01    8.8827647889e-02    1.0045796724e+00
   5.9500000    5.6611388336e-01    8.7117542330e-02    1.0062679419e+00
   5.9750000    5.6573793881e-01    8.5388466116e-02    1.0078682903e+00
   6.0000000    5.6537973052e-01    8.3640459572e-02    1.0093789721e+00
   6.0250000    5.6503986526e-01    8.1873552575e-02    1.0107982443e+00
   6.0500000    5.6471896320e-01    8.0087764082e-02    1.0121243634e+00
