#       time                 chi                 phi               lapse
   1.9000000    7.6488504803e-01    4.9832772843e-02    7.8219540591e-01
   1.9250000    7.6463326339e-01    5.0231885041e-02    7.8284534160e-01
   1.9500000    7.6437551903e-01    5.0624128658e-02    7.8351176944e-01
   1.9750000    7.6411179146e-01    5.1009489178e-02    7.8419480115e-01
   2.0000000    7.6384205827e-01    5.1387950398e-02    7.8489454593e-01
   2.0250000    7.6356629830e-01    5.1759494421e-02    7.8561111007e-01
   2.0500000    7.6328449183e-01    5.2124101652e-02    7.8634459659e-01
   2.0750000    7.6299662079e-01    5.2481750806e-02    7.8709510467e-01
   2.1000000    7.6270266898e-01    5.2832418904e-02    7.8786272923e-01
   2.1250000    7.6240262206e-01    5.3176081280e-02    7.8864756045e-01
   2.1500000    7.6209646764e-01    5.3512711586e-02    7.8944968334e-01
   2.1750000    7.6178419501e-01    5.3842281792e-02    7.9026917753e-01
   2.2000000    7.6146579498e-01    5.4164762192e-02    7.9110611708e-01
   2.2250000    7.6114125938e-01    5.4480121403e-02    7.9196057047e-01
   2.2500000    7.6081058072e-01    5.4788326367e-02    7.9283260076e-01
   2.2750000    7.6047375161e-01    5.5089342347e-02    7.9372226588e-01
   2.3000000    7.6013076439e-01    5.5383132925e-02    7.9462961901e-01
   2.3250000    7.5978161070e-01    5.5669659998e-02    7.9555470910e-01
   2.3500000    7.5942628133e-01    5.5948883770e-02    7.9649758140e-01
   2.3750000    7.5906476614e-01    5.6220762750e-02    7.9745827799e-01
   2.4000000    7.5869705424e-01    5.6485253740e-02    7.9843683832e-01
   2.4250000    7.5832313442e-01    5.6742311839e-02    7.9943329958e-01
   2.4500000    7.5794299569e-01    5.6991890430e-02    8.0044769705e-01
   2.4750000    7.5755662809e-01    5.7233941182e-02    8.0148006421e-01
   2.5000000    7.5716402355e-01    5.7468414050e-02    8.0253043273e-01
   2.5250000    7.5676517684e-01    5.7695257273e-02    8.0359883232e-01
   2.5500000    7.5636008645e-01    5.7914417383e-02    8.0468529034e-01
   2.5750000    7.5594875540e-01    5.8125839203e-02    8.0578983133e-01
   2.6000000    7.5553119188e-01    5.8329465862e-02    8.0691247649e-01
   2.6250000    7.5510740967e-01    5.8525238798e-02    8.0805324295e-01
   2.6500000    7.5467742825e-01    5.8713097766e-02    8.0921214320e-01
   2.6750000    7.5424127270e-01    5.8892980853e-02    8.1038918451e-01
   2.7000000    7.5379897325e-01    5.9064824480e-02    8.1158436834e-01
   2.7250000    7.5335056467e-01    5.9228563411e-02    8.1279769008e-01
   2.7500000    7.5289608540e-01    5.9384130758e-02    8.1402913882e-01
   2.7750000    7.5243557652e-01    5.9531457982e-02    8.1527869731e-01
   2.8000000    7.5196908074e-01    5.9670474894e-02    8.1654634222e-01
   2.8250000    7.5149664130e-01    5.9801109646e-02    8.1783204440e-01
   2.8500000    7.5101830101e-01    5.9923288730e-02    8.1913576945e-01
   2.8750000    7.5053410142e-01    6.0036936960e-02    8.2045747825e-01
   2.9000000    7.5004408214e-01    6.0141977463e-02    8.2179712756e-01
   2.9250000    7.4954828048e-01    6.0238331661e-02    8.2315467056e-01
   2.9500000    7.4904673124e-01    6.0325919254e-02    8.2453005729e-01
   2.9750000    7.4853946686e-01    6.0404658198e-02    8.2592323483e-01
   3.0000000    7.4802651772e-01    6.0474464689e-02    8.2733414730e-01
   3.0250000    7.4750791274e-01    6.0535253144e-02    8.2876273546e-01
   3.0500000    7.4698368012e-01    6.0586936182e-02    8.3020893602e-01
   3.0750000    7.4645384823e-01    6.0629424611e-02    8.3167268060e-01
   3.1000000    7.4591844654e-01    6.0662627413e-02    8.3315389430e-01
   3.1250000    7.4537750663e-01    6.0686451733e-02    8.3465249404e-01
   3.1500000    7.4483106308e-01    6.0700802869e-02    8.3616838666e-01
   3.1750000    7.4427915436e-01    6.0705584263e-02    8.3770146686e-01
   3.2000000    7.4372182340e-01    6.0700697494e-02    8.3925161517e-01
   3.2250000    7.4315911815e-01    6.0686042265e-02    8.4081869599e-01
   3.2500000    7.4259109171e-01    6.0661516391e-02    8.4240255583e-01
   3.2750000    7.4201780230e-01    6.0627015787e-02    8.4400302194e-01
   3.3000000    7.4143931295e-01    6.0582434438e-02    8.4561990134e-01
   3.3250000    7.4085569087e-01    6.0527664379e-02    8.4725298042e-01
   3.3500000    7.4026700664e-01    6.0462595652e-02    8.4890202512e-01
   3.3750000    7.3967333314e-01    6.0387116269e-02    8.5056678167e-01
   3.4000000    7.3907474441e-01    6.0301112156e-02    8.5224697810e-01
   3.4250000    7.3847131444e-01    6.0204467097e-02    8.5394232613e-01
   3.4500000    7.3786311596e-01    6.0097062669e-02    8.5565252375e-01
   3.4750000    7.3725021945e-01    5.9978778172e-02    8.5737725808e-01
   3.5000000    7.3663269228e-01    5.9849490558e-02    8.5911620853e-01
