# file number : 1
#                  x                   y                   z                 phi
                 0.1                 0.1                 0.1        -0.104740216
                0.42                0.42                0.42       -0.0965438388
                0.74                0.74                0.74       -0.0818053432
                1.06                1.06                1.06        -0.065263321
                1.38                1.38                1.38       -0.0501694151
                 1.7                 1.7                 1.7       -0.0376439887
                2.02                2.02                2.02       -0.0278597973
                2.34                2.34                2.34       -0.0205104518
                2.66                2.66                2.66       -0.0151019699
                2.98                2.98                2.98        -0.011142013
                 3.3                 3.3                 3.3      -0.00821713973
                3.62                3.62                3.62      -0.00604939736
                3.94                3.94                3.94      -0.00445580281
                4.26                4.26                4.26       -0.0032931548
                4.58                4.58                4.58      -0.00243973598
                 4.9                 4.9                 4.9      -0.00181431185
                5.22                5.22                5.22      -0.00135396507
                5.54                5.54                5.54      -0.00101343847
                5.86                5.86                5.86     -0.000760454655
                6.18                6.18                6.18     -0.000573231411
                 6.5                 6.5                 6.5     -0.000436299524
                6.82                6.82                6.82     -0.000336424047
                7.14                7.14                7.14     -0.000261720663
                7.46                7.46                7.46     -0.000203574635
                7.78                7.78                7.78      -0.00015757166
                 8.1                 8.1                 8.1     -0.000121836581
                8.42                8.42                8.42     -9.30063606e-05
                8.74                8.74                8.74     -7.04429635e-05
                9.06                9.06                9.06     -5.33718183e-05
                9.38                9.38                9.38     -4.09200768e-05
                 9.7                 9.7                 9.7     -3.19701984e-05
               10.02               10.02               10.02     -2.53533047e-05
               10.34               10.34               10.34     -2.03500295e-05
               10.66               10.66               10.66      -1.6544767e-05
               10.98               10.98               10.98     -1.35864857e-05
                11.3                11.3                11.3     -1.11633461e-05
               11.62               11.62               11.62     -9.09971251e-06
               11.94               11.94               11.94     -7.34170208e-06
               12.26               12.26               12.26     -5.82065604e-06
               12.58               12.58               12.58     -4.44363506e-06
                12.9                12.9                12.9     -3.14826213e-06
               13.22               13.22               13.22     -1.98697489e-06
               13.54               13.54               13.54     -1.00675497e-06
               13.86               13.86               13.86     -1.81380116e-07
               14.18               14.18               14.18      5.40140292e-07
                14.5                14.5                14.5      1.16359778e-06
               14.82               14.82               14.82      1.65135998e-06
               15.14               15.14               15.14      1.90652563e-06
               15.46               15.46               15.46      1.90162096e-06
               15.78               15.78               15.78      1.64778483e-06
                16.1                16.1                16.1      1.13379569e-06
               16.42               16.42               16.42      6.19558664e-07
               16.74               16.74               16.74      1.05433065e-07
               17.06               17.06               17.06     -3.07971766e-07
               17.38               17.38               17.38     -5.05559008e-07
                17.7                17.7                17.7     -5.31640756e-07
               18.02               18.02               18.02     -4.27457067e-07
               18.34               18.34               18.34     -2.52070289e-07
               18.66               18.66               18.66     -6.68841018e-08
               18.98               18.98               18.98      7.80718777e-08
                19.3                19.3                19.3      1.24818367e-07
               19.62               19.62               19.62      1.18605218e-07
               19.94               19.94               19.94      8.20390608e-08
               20.26               20.26               20.26      3.64035745e-08
               20.58               20.58               20.58     -1.50926821e-09
                20.9                20.9                20.9     -2.24687739e-08
               21.22               21.22               21.22     -2.36796162e-08
               21.54               21.54               21.54     -1.65045534e-08
               21.86               21.86               21.86     -7.68362999e-09
               22.18               22.18               22.18     -6.44531355e-10
                22.5                22.5                22.5      3.03679188e-09
               22.82               22.82               22.82      3.45574316e-09
               23.14               23.14               23.14      2.07844447e-09
               23.46               23.46               23.46      7.52530062e-10
               23.78               23.78               23.78     -1.67749277e-10
                24.1                24.1                24.1     -5.52424292e-10
               24.42               24.42               24.42     -5.04754458e-10
               24.74               24.74               24.74     -2.38952259e-10
               25.06               25.06               25.06      1.21307228e-11
               25.38               25.38               25.38      9.17111184e-11
                25.7                25.7                25.7      1.02513162e-10
               26.02               26.02               26.02      7.17427627e-11
               26.34               26.34               26.34      2.96254889e-11
               26.66               26.66               26.66     -1.99175058e-12
               26.98               26.98               26.98     -1.41856954e-11
                27.3                27.3                27.3     -1.16935469e-11
               27.62               27.62               27.62     -6.47585322e-12
               27.94               27.94               27.94     -1.76120901e-12
               28.26               28.26               28.26      9.39790812e-13
               28.58               28.58               28.58      1.53548644e-12
                28.9                28.9                28.9      8.16952095e-13
               29.22               29.22               29.22       1.4731682e-13
               29.54               29.54               29.54      -1.6979158e-13
               29.86               29.86               29.86     -2.60406241e-13
               30.18               30.18               30.18     -1.97573183e-13
                30.5                30.5                30.5     -8.19458696e-14
               30.82               30.82               30.82      7.74367015e-15
               31.14               31.14               31.14      3.43879944e-14
               31.46               31.46               31.46      2.84317331e-14
               31.78               31.78               31.78      1.56508861e-14
