#       time                 chi                 phi               lapse
   0.0250000    7.7111835148e-01    8.4652160867e-04    7.6683605566e-01
   0.0500000    7.7111732532e-01    1.6926927749e-03    7.6683602414e-01
   0.0750000    7.7111573058e-01    2.5381647752e-03    7.6683601411e-01
   0.1000000    7.7111363096e-01    3.3825923759e-03    7.6683605778e-01
   0.1250000    7.7111109192e-01    4.2256354683e-03    7.6683619586e-01
   0.1500000    7.7110817164e-01    5.0669606126e-03    7.6683647723e-01
   0.1750000    7.7110491324e-01    5.9062424736e-03    7.6683695864e-01
   0.2000000    7.7110133903e-01    6.7431651354e-03    7.6683770469e-01
   0.2250000    7.7109744737e-01    7.5774232843e-03    7.6683878773e-01
   0.2500000    7.7109321210e-01    8.4087232558e-03    7.6684028787e-01
   0.2750000    7.7108858405e-01    9.2367839397e-03    7.6684229288e-01
   0.3000000    7.7108349414e-01    1.0061337544e-02    7.6684489807e-01
   0.3250000    7.7107785707e-01    1.0882130217e-02    7.6684820603e-01
   0.3500000    7.7107157523e-01    1.1698922524e-02    7.6685232630e-01
   0.3750000    7.7106454207e-01    1.2511489792e-02    7.6685737496e-01
   0.4000000    7.7105664497e-01    1.3319622318e-02    7.6686347407e-01
   0.4250000    7.7104776724e-01    1.4123125444e-02    7.6687075115e-01
   0.4500000    7.7103778949e-01    1.4921819518e-02    7.6687933851e-01
   0.4750000    7.7102659053e-01    1.5715539738e-02    7.6688937261e-01
   0.5000000    7.7101404778e-01    1.6504135895e-02    7.6690099346e-01
   0.5250000    7.7100003754e-01    1.7287472025e-02    7.6691434389e-01
   0.5500000    7.7098443512e-01    1.8065425976e-02    7.6692956899e-01
   0.5750000    7.7096711492e-01    1.8837888907e-02    7.6694681552e-01
   0.6000000    7.7094795062e-01    1.9604764735e-02    7.6696623131e-01
   0.6250000    7.7092681532e-01    2.0365969524e-02    7.6698796482e-01
   0.6500000    7.7090358184e-01    2.1121430847e-02    7.6701216462e-01
   0.6750000    7.7087812305e-01    2.1871087115e-02    7.6703897901e-01
   0.7000000    7.7085031221e-01    2.2614886892e-02    7.6706855565e-01
   0.7250000    7.7082002341e-01    2.3352788197e-02    7.6710104123e-01
   0.7500000    7.7078713188e-01    2.4084757811e-02    7.6713658122e-01
   0.7750000    7.7075151434e-01    2.4810770584e-02    7.6717531960e-01
   0.8000000    7.7071304923e-01    2.5530808750e-02    7.6721739875e-01
   0.8250000    7.7067161686e-01    2.6244861273e-02    7.6726295920e-01
   0.8500000    7.7062709947e-01    2.6952923193e-02    7.6731213964e-01
   0.8750000    7.7057938127e-01    2.7654995019e-02    7.6736507674e-01
   0.9000000    7.7052834842e-01    2.8351082128e-02    7.6742190513e-01
   0.9250000    7.7047388902e-01    2.9041194213e-02    7.6748275742e-01
   0.9500000    7.7041589310e-01    2.9725344746e-02    7.6754776409e-01
   0.9750000    7.7035425271e-01    3.0403550482e-02    7.6761705355e-01
   1.0000000    7.7028886203e-01    3.1075830990e-02    7.6769075212e-01
   1.0250000    7.7021961751e-01    3.1742208223e-02    7.6776898402e-01
   1.0500000    7.7014641807e-01    3.2402706102e-02    7.6785187139e-01
   1.0750000    7.7006916527e-01    3.3057350151e-02    7.6793953425e-01
   1.1000000    7.6998776348e-01    3.3706167144e-02    7.6803209053e-01
   1.1250000    7.6990211997e-01    3.4349184785e-02    7.6812965599e-01
   1.1500000    7.6981214499e-01    3.4986431412e-02    7.6823234424e-01
   1.1750000    7.6971775174e-01    3.5617935732e-02    7.6834026671e-01
   1.2000000    7.6961885631e-01    3.6243726564e-02    7.6845353257e-01
   1.2250000    7.6951537752e-01    3.6863832623e-02    7.6857224874e-01
   1.2500000    7.6940723682e-01    3.7478282309e-02    7.6869651984e-01
   1.2750000    7.6929435805e-01    3.8087103520e-02    7.6882644814e-01
   1.3000000    7.6917666730e-01    3.8690323492e-02    7.6896213359e-01
   1.3250000    7.6905409273e-01    3.9287968644e-02    7.6910367378e-01
   1.3500000    7.6892656441e-01    3.9880064450e-02    7.6925116394e-01
