#       time                 chi                 phi               lapse
   0.3625000    6.8034054465e-01    1.6837469314e-02    6.7249081621e-01
   0.3666667    6.8033898205e-01    1.7026554745e-02    6.7249215941e-01
   0.3708333    6.8033739620e-01    1.7215490282e-02    6.7249354837e-01
   0.3750000    6.8033578702e-01    1.7404274346e-02    6.7249498388e-01
   0.3791667    6.8033415433e-01    1.7592905360e-02    6.7249646673e-01
   0.3833333    6.8033249794e-01    1.7781381748e-02    6.7249799771e-01
   0.3875000    6.8033081757e-01    1.7969701941e-02    6.7249957762e-01
   0.3916667    6.8032911287e-01    1.8157864369e-02    6.7250120727e-01
   0.3958333    6.8032738342e-01    1.8345867466e-02    6.7250288746e-01
   0.4000000    6.8032562871e-01    1.8533709669e-02    6.7250461902e-01
   0.4041667    6.8032384816e-01    1.8721389418e-02    6.7250640277e-01
   0.4083333    6.8032204112e-01    1.8908905155e-02    6.7250823957e-01
   0.4125000    6.8032020687e-01    1.9096255323e-02    6.7251013026e-01
   0.4166667    6.8031834461e-01    1.9283438371e-02    6.7251207572e-01
   0.4208333    6.8031645349e-01    1.9470452747e-02    6.7251407683e-01
   0.4250000    6.8031453263e-01    1.9657296904e-02    6.7251613450e-01
   0.4291667    6.8031258110e-01    1.9843969295e-02    6.7251824964e-01
   0.4333333    6.8031059792e-01    2.0030468379e-02    6.7252042320e-01
   0.4375000    6.8030858211e-01    2.0216792613e-02    6.7252265613e-01
   0.4416667    6.8030653268e-01    2.0402940461e-02    6.7252494941e-01
   0.4458333    6.8030444863e-01    2.0588910386e-02    6.7252730404e-01
   0.4500000    6.8030232895e-01    2.0774700854e-02    6.7252972103e-01
   0.4541667    6.8030017266e-01    2.0960310335e-02    6.7253220143e-01
   0.4583333    6.8029797879e-01    2.1145737301e-02    6.7253474629e-01
   0.4625000    6.8029574636e-01    2.1330980225e-02    6.7253735671e-01
   0.4666667    6.8029347446e-01    2.1516037583e-02    6.7254003378e-01
   0.4708333    6.8029116215e-01    2.1700907856e-02    6.7254277863e-01
   0.4750000    6.8028880855e-01    2.1885589525e-02    6.7254559242e-01
   0.4791667    6.8028641280e-01    2.2070081073e-02    6.7254847630e-01
   0.4833333    6.8028397406e-01    2.2254380989e-02    6.7255143148e-01
   0.4875000    6.8028149152e-01    2.2438487761e-02    6.7255445918e-01
   0.4916667    6.8027896439e-01    2.2622399882e-02    6.7255756062e-01
   0.4958333    6.8027639193e-01    2.2806115847e-02    6.7256073707e-01
   0.5000000    6.8027377340e-01    2.2989634153e-02    6.7256398980e-01
   0.5041667    6.8027110812e-01    2.3172953302e-02    6.7256732012e-01
   0.5083333    6.8026839541e-01    2.3356071796e-02    6.7257072935e-01
   0.5125000    6.8026563464e-01    2.3538988141e-02    6.7257421882e-01
   0.5166667    6.8026282521e-01    2.3721700847e-02    6.7257778991e-01
   0.5208333    6.8025996652e-01    2.3904208426e-02    6.7258144398e-01
   0.5250000    6.8025705803e-01    2.4086509392e-02    6.7258518243e-01
   0.5291667    6.8025409921e-01    2.4268602262e-02    6.7258900669e-01
   0.5333333    6.8025108955e-01    2.4450485558e-02    6.7259291818e-01
   0.5375000    6.8024802856e-01    2.4632157803e-02    6.7259691835e-01
   0.5416667    6.8024491577e-01    2.4813617522e-02    6.7260100867e-01
   0.5458333    6.8024175071e-01    2.4994863246e-02    6.7260519061e-01
   0.5500000    6.8023853290e-01    2.5175893506e-02    6.7260946567e-01
   0.5541667    6.8023526188e-01    2.5356706838e-02    6.7261383535e-01
   0.5583333    6.8023193716e-01    2.5537301778e-02    6.7261830117e-01
   0.5625000    6.8022855824e-01    2.5717676869e-02    6.7262286466e-01
   0.5666667    6.8022512458e-01    2.5897830653e-02    6.7262752735e-01
   0.5708333    6.8022163561e-01    2.6077761676e-02    6.7263229080e-01
   0.5750000    6.8021809071e-01    2.6257468489e-02    6.7263715655e-01
   0.5791667    6.8021448925e-01    2.6436949643e-02    6.7264212618e-01
   0.5833333    6.8021083050e-01    2.6616203692e-02    6.7264720124e-01
   0.5875000    6.8020711370e-01    2.6795229195e-02    6.7265238330e-01
   0.5916667    6.8020333805e-01    2.6974024712e-02    6.7265767394e-01
   0.5958333    6.8019950267e-01    2.7152588805e-02    6.7266307474e-01
   0.6000000    6.8019560664e-01    2.7330920040e-02    6.7266858728e-01
   0.6041667    6.8019164900e-01    2.7509016987e-02    6.7267421312e-01
   0.6083333    6.8018762874e-01    2.7686878215e-02    6.7267995384e-01
   0.6125000    6.8018354481e-01    2.7864502300e-02    6.7268581103e-01
   0.6166667    6.8017939614e-01    2.8041887816e-02    6.7269178624e-01
   0.6208333    6.8017518166e-01    2.8219033344e-02    6.7269788105e-01
   0.6250000    6.8017090027e-01    2.8395937466e-02    6.7270409701e-01
   0.6291667    6.8016655088e-01    2.8572598765e-02    6.7271043568e-01
   0.6333333    6.8016213241e-01    2.8749015828e-02    6.7271689861e-01
   0.6375000    6.8015764382e-01    2.8925187247e-02    6.7272348734e-01
   0.6416667    6.8015308408e-01    2.9101111612e-02    6.7273020341e-01
   0.6458333    6.8014845221e-01    2.9276787519e-02    6.7273704833e-01
   0.6500000    6.8014374728e-01    2.9452213566e-02    6.7274402364e-01
   0.6541667    6.8013896838e-01    2.9627388353e-02    6.7275113082e-01
   0.6583333    6.8013411470e-01    2.9802310483e-02    6.7275837139e-01
   0.6625000    6.8012918544e-01    2.9976978561e-02    6.7276574683e-01
   0.6666667    6.8012417986e-01    3.0151391196e-02    6.7277325862e-01
   0.6708333    6.8011909728e-01    3.0325547000e-02    6.7278090824e-01
   0.6750000    6.8011393705e-01    3.0499444585e-02    6.7278869714e-01
   0.6791667    6.8010869857e-01    3.0673082568e-02    6.7279662678e-01
   0.6833333    6.8010338124e-01    3.0846459568e-02    6.7280469860e-01
   0.6875000    6.8009798450e-01    3.1019574208e-02    6.7281291405e-01
   0.6916667    6.8009250780e-01    3.1192425110e-02    6.7282127454e-01
   0.6958333    6.8008695059e-01    3.1365010904e-02    6.7282978150e-01
   0.7000000    6.8008131230e-01    3.1537330218e-02    6.7283843636e-01
   0.7041667    6.8007559232e-01    3.1709381685e-02    6.7284724051e-01
   0.7083333    6.8006979006e-01    3.1881163940e-02    6.7285619537e-01
   0.7125000    6.8006390483e-01    3.2052675622e-02    6.7286530235e-01
   0.7166667    6.8005793594e-01    3.2223915371e-02    6.7287456283e-01
   0.7208333    6.8005188262e-01    3.2394881831e-02    6.7288397822e-01
   0.7250000    6.8004574403e-01    3.2565573647e-02    6.7289354993e-01
   0.7291667    6.8003951927e-01    3.2735989468e-02    6.7290327933e-01
   0.7333333    6.8003320740e-01    3.2906127946e-02    6.7291316785e-01
   0.7375000    6.8002680736e-01    3.3075987734e-02    6.7292321687e-01
   0.7416667    6.8002031806e-01    3.3245567490e-02    6.7293342781e-01
   0.7458333    6.8001373831e-01    3.3414865872e-02    6.7294380208e-01
   0.7500000    6.8000706687e-01    3.3583881542e-02    6.7295434108e-01
   0.7541667    6.8000030244e-01    3.3752613164e-02    6.7296504624e-01
   0.7583333    6.7999344365e-01    3.3921059407e-02    6.7297591899e-01
   0.7625000    6.7998648909e-01    3.4089218938e-02    6.7298696076e-01
   0.7666667    6.7997943730e-01    3.4257090431e-02    6.7299817301e-01
   0.7708333    6.7997228679e-01    3.4424672560e-02    6.7300955718e-01
   0.7750000    6.7996503602e-01    3.4591964002e-02    6.7302111475e-01
   0.7791667    6.7995768346e-01    3.4758963438e-02    6.7303284719e-01
   0.7833333    6.7995022757e-01    3.4925669548e-02    6.7304475600e-01
   0.7875000    6.7994266679e-01    3.5092081019e-02    6.7305684266e-01
   0.7916667    6.7993499957e-01    3.5258196538e-02    6.7306910871e-01
   0.7958333    6.7992722441e-01    3.5424014794e-02    6.7308155567e-01
   0.8000000    6.7991933981e-01    3.5589534480e-02    6.7309418509e-01
